; sds_mobility.dat — ion mass / diameter / reduced-mobility table for the SDS model
; REGENERATED: this file is an
; ion_gym artifact. Values are the physical-fact compilation distributed with
; the SDS example (tune-ion masses + published reduced mobilities), kept as an
; interim table; to supersede with lab-documented mobility
; values, edit tools/regen_sds_tables.py ROWS (with a citation per row) and
; re-run. Format: mass(amu), diameter(nm), Ko(1e-4 m2/V/s); 0,0,0 terminates;
; d=0 or Ko=0 -> estimated at runtime (Appelhans & Dahl 2005, Sec. 2.2).
190,0.69,1.36
130,0.61,1.56
322,0,1.36
556,0.99,1.166
622,0,1.015
922,0,0.841
923,0,0.969
927,0,0.965
931,0,0.96
960,0,0.931
1222,0,0.72
1522,0,0.643
1822,0,0.579
2122,0,0.531
2422,0,0.493
2722,0,0.461
490,0,1.4
491,0,1.42
62,0,2.46
195,0,1.54
700,0,1.17
663,0,0.85
311,0,1.015
312,0,1.015
314,0,1.015
318,0,1.015
328,0,1.015
559.8,0,1.015
497.6,0,1.015
435.4,0,1.015
373.2,0,1.015
684.2,0,1.015
768.9,0,0.992
645.33,0,4.2
952.1,0.39,0
1071,0.34,0
354.19,0,1.13
