w_c,w_s,p,r_in,h,n_rings,r_out,gamma_eff,bias_g05,bias_g50,bias_g90,solve_s
0.4,0.4,0.8,3.0,0.2,102,8.0,0.8,1.8681063851389013e-07,1.0808196835854211e-05,0.0418362783431907,2.6
0.4,0.4,0.8,4.0,0.2,102,9.0,0.85,1.5647385709360861e-07,1.4317088947390921e-05,0.002837017294969879,3.5
0.4,0.4,0.8,5.0,0.2,102,10.0,0.9,1.4298345796248668e-07,1.8961794365446316e-05,0.00015931724185636043,4.5
0.4,0.4,0.8,6.0,0.2,102,11.0,0.9,5.535573542880812e-07,2.8492694564286047e-05,0.00012984172688690343,5.8
0.4,0.4,0.8,7.0,0.2,102,12.0,0.9,5.615839298034331e-07,4.138431006250887e-05,9.767327835774609e-05,6.1
0.4,0.4,0.8,8.0,0.2,102,13.0,0.9,5.948972590097412e-07,5.4390106837054475e-05,0.0001287238202096752,6.9
0.4,0.4,0.8,9.0,0.2,102,14.0,0.9,6.602280246958969e-07,7.331456046366647e-05,0.00019679892715784852,8.2
0.4,0.4,0.8,10.0,0.2,102,15.0,0.9,7.75079391779343e-07,0.00011067765179806344,0.0002907133025884523,9.5
0.4,0.5,0.9,3.0,0.2,91,8.0,0.75,1.6791562873486043e-07,1.6383021710364432e-06,0.03524087178041291,2.5
0.4,0.5,0.9,4.0,0.2,91,9.0,0.85,1.5861642499448436e-07,1.2426735681025924e-05,0.0047874063730593,3.5
0.4,0.5,0.9,5.0,0.2,91,10.0,0.9,1.462354780601416e-07,1.990550824793047e-05,0.00046706289875420026,4.2
0.4,0.5,0.9,6.0,0.2,91,11.0,0.9,5.635072920506801e-07,2.8978269033141935e-05,0.0008652339844226198,5.2
0.4,0.5,0.9,7.0,0.2,91,12.0,0.9,5.69864090027572e-07,4.199857866793444e-05,0.0009257073197157517,5.5
0.4,0.5,0.9,8.0,0.2,91,13.0,0.9,6.019002013468722e-07,5.507306303453863e-05,0.0002047768830285568,6.2
0.4,0.5,0.9,9.0,0.2,91,14.0,0.9,6.660317588558229e-07,7.399946923125622e-05,0.0001006657706188463,6.8
0.4,0.5,0.9,10.0,0.2,91,15.0,0.9,7.793413894230383e-07,0.00011134405160362348,0.00012778356776876887,7.9
0.4,0.8,1.2000000000000002,3.0,0.2,68,8.0,0.8,2.046048229731312e-07,1.2998759163163065e-05,0.04910910573095584,1.8
0.4,0.8,1.2000000000000002,4.0,0.2,68,9.0,0.85,1.6764942878388922e-07,1.5255468373220893e-05,0.006412367953557707,2.6
0.4,0.8,1.2000000000000002,5.0,0.2,68,10.0,0.9,1.5176360712576553e-07,2.016846317931531e-05,0.0007605014724823,2.9
0.4,0.8,1.2000000000000002,6.0,0.2,68,11.0,0.9,5.83872228121507e-07,3.009862301039945e-05,0.0008915722408420201,3.7
0.4,0.8,1.2000000000000002,7.0,0.2,68,12.0,0.9,5.898992357922239e-07,4.353306806081925e-05,0.0006425475476747877,4.4
0.4,0.8,1.2000000000000002,8.0,0.2,68,13.0,0.9,6.233947152933794e-07,5.706298599028603e-05,2.4093031275818078e-05,5.0
0.4,0.8,1.2000000000000002,9.0,0.2,68,14.0,0.9,6.913044608980456e-07,7.684282462139258e-05,0.00021263581758890204,5.8
0.4,0.8,1.2000000000000002,10.0,0.2,68,15.0,0.9,8.122004954147499e-07,0.00011608874093116395,0.00025911566999381463,6.4
0.4,1.0,1.4,3.0,0.2,59,8.0,0.75,2.2137442334813073e-07,1.767150429810016e-05,0.047808858124489984,1.8
0.4,1.0,1.4,4.0,0.2,59,9.0,0.8,1.7145645103688878e-07,1.572817047967856e-05,0.007353985908268745,2.5
0.4,1.0,1.4,5.0,0.2,59,10.0,0.85,1.5401268149695113e-07,2.0414195280427094e-05,0.0014974269171701415,2.9
0.4,1.0,1.4,6.0,0.2,59,11.0,0.85,5.887884799715692e-07,3.0364045838893183e-05,0.0015225635150160066,3.5
0.4,1.0,1.4,7.0,0.2,59,12.0,0.85,5.913416760705559e-07,4.3674388891634663e-05,0.0013065388268627132,4.2
0.4,1.0,1.4,8.0,0.2,59,13.0,0.9,6.210468639356037e-07,5.6887998795329686e-05,6.300556087301956e-06,4.8
0.4,1.0,1.4,9.0,0.2,59,14.0,0.9,6.837257855440981e-07,7.604584469544928e-05,0.00025773586559152406,4.9
0.4,1.0,1.4,10.0,0.2,59,15.0,0.9,7.960387367056398e-07,0.00011384317278217981,0.00035635314621629277,5.6
0.4,1.2,1.6,3.0,0.2,52,8.0,0.75,1.9940885498392902e-07,2.6095242615653547e-06,0.04777350617718046,1.6
